Target Sample Library lib_type seq_reads_se seq_trash_se seq_trash_se_frac seq_retained_reads seq_retained_nts seq_retained_length hits_raw.endogenous. hits_raw_frac.endogenous. hits_clonality.endogenous. hits_unique.endogenous. hits_unique_frac.endogenous. hits_coverage.endogenous. hits_length.endogenous. ratio_reads.nuc.mito. ratio_genome.mito.nuc. ratio_genome.nuc.mito. hits_raw.mitochondrial. hits_raw_frac.mitochondrial. hits_clonality.mitochondrial. hits_unique.mitochondrial. hits_unique_frac.mitochondrial. hits_coverage.mitochondrial. hits_length.mitochondrial. hits_raw.nuclear. hits_raw_frac.nuclear. hits_clonality.nuclear. hits_unique.nuclear. hits_unique_frac.nuclear. hits_coverage.nuclear. hits_length.nuclear. Bases_covered Bases_covered_fraction
MA2381 * * SE 26428352 8093297 0.306235402041 18335055 911659906 49.7222345938 26954 0.00147008012793 0.00482303183201 26824 0.00146298988468 0.000498156412274 58.2611467343 23.452142206 16858.6915061 5.93165845426e-05 1116 6.0867011307e-05 0.0170250896057 1097 5.98307449855e-05 4.02015569368 60.7274384686 25838 0.00140921311662 0.00429599814227 25727 0.00140315913969 0.000476923810157 58.1559839857 1479187 0.000471507419884251
MA2381 CGG_2_020834 * SE 26428352 8093297 0.306235402041 18335055 911659906 49.7222345938 26954 0.00147008012793 0.00482303183201 26824 0.00146298988468 0.000498156412274 58.2611467343 23.452142206 16858.6915061 5.93165845426e-05 1116 6.0867011307e-05 0.0170250896057 1097 5.98307449855e-05 4.02015569368 60.7274384686 25838 0.00140921311662 0.00429599814227 25727 0.00140315913969 0.000476923810157 58.1559839857 1479187 0.000471507419884251
MA2381 CGG_2_020834 MN00010 SE 26428352 8093297 0.306235402041 18335055 911659906 49.7222345938 26954 0.00147008012793 0.00482303183201 26824 0.00146298988468 0.000498156412274 58.2611467343 23.452142206 16858.6915061 5.93165845426e-05 1116 6.0867011307e-05 0.0170250896057 1097 5.98307449855e-05 4.02015569368 60.7274384686 25838 0.00140921311662 0.00429599814227 25727 0.00140315913969 0.000476923810157 58.1559839857 1479187 0.000471507419884251
MA2382 * * SE 17580039 959330 0.054569275984 16620709 935418853 56.2803219165 2912681 0.175244088564 0.00540704594839 2896932 0.174296535725 0.0501857882815 54.3474651804 4335.7245509 88.6535895474 0.0112798591135 681 4.09729813572e-05 0.0190895741557 668 4.01908245912e-05 2.22406613964 55.1721556886 2912000 0.175203115583 0.00540384615385 2896264 0.174256344901 0.0501743054285 54.3472749722 151652518 0.0483409382864573
MA2382 CGG_2_020835 * SE 17580039 959330 0.054569275984 16620709 935418853 56.2803219165 2912681 0.175244088564 0.00540704594839 2896932 0.174296535725 0.0501857882815 54.3474651804 4335.7245509 88.6535895474 0.0112798591135 681 4.09729813572e-05 0.0190895741557 668 4.01908245912e-05 2.22406613964 55.1721556886 2912000 0.175203115583 0.00540384615385 2896264 0.174256344901 0.0501743054285 54.3472749722 151652518 0.0483409382864573
MA2382 CGG_2_020835 MN00013 SE 17580039 959330 0.054569275984 16620709 935418853 56.2803219165 2912681 0.175244088564 0.00540704594839 2896932 0.174296535725 0.0501857882815 54.3474651804 4335.7245509 88.6535895474 0.0112798591135 681 4.09729813572e-05 0.0190895741557 668 4.01908245912e-05 2.22406613964 55.1721556886 2912000 0.175203115583 0.00540384615385 2896264 0.174256344901 0.0501743054285 54.3472749722 151652518 0.0483409382864573
MA2383 * * SE 12775659 1828102 0.143092579412 10947557 561095421 51.2530257664 435006 0.0397354405188 0.0113722569344 430059 0.0392835588798 0.00691188408095 50.420279543 167.782967033 2196.56686114 0.000455255889403 2766 0.000252659109242 0.0788141720897 2548 0.000232745990727 7.54746243437 49.0851648352 432240 0.0394827814096 0.0109406811031 427511 0.0390508128891 0.0068720534466 50.4282369343 21324245 0.00679734187829506
MA2383 CGG_2_020836 * SE 12775659 1828102 0.143092579412 10947557 561095421 51.2530257664 435006 0.0397354405188 0.0113722569344 430059 0.0392835588798 0.00691188408095 50.420279543 167.782967033 2196.56686114 0.000455255889403 2766 0.000252659109242 0.0788141720897 2548 0.000232745990727 7.54746243437 49.0851648352 432240 0.0394827814096 0.0109406811031 427511 0.0390508128891 0.0068720534466 50.4282369343 21324245 0.00679734187829506
MA2383 CGG_2_020836 MN00016 SE 12775659 1828102 0.143092579412 10947557 561095421 51.2530257664 435006 0.0397354405188 0.0113722569344 430059 0.0392835588798 0.00691188408095 50.420279543 167.782967033 2196.56686114 0.000455255889403 2766 0.000252659109242 0.0788141720897 2548 0.000232745990727 7.54746243437 49.0851648352 432240 0.0394827814096 0.0109406811031 427511 0.0390508128891 0.0068720534466 50.4282369343 21324245 0.00679734187829506
MA2384 * * SE 10249380 697526 0.068055433597 9551854 613187626 64.1956656791 961406 0.100651245298 0.00975550391822 952027 0.0996693416796 0.0197538232131 65.0936675115 161.767481621 2288.23309475 0.000437018414905 6715 0.000703004882612 0.128965003723 5849 0.000612341855309 22.465029268 63.6464352881 954691 0.0999482404149 0.00891702131894 946178 0.0990569998243 0.019635262963 65.1026138845 60392277 0.019250714554147
